Field ,Area,Identification number,Days,Na,K,Mg,Ca,Sr,Ba,Cl,SO4
Dan ,Central,2,0,30671.69,353,369,1670,247,1,51410.00000001,660
Dan ,Central,1,1165,24841.35,190,400,3000,199,1,43900,1700
Dan ,Central,1,1165,25098.8,200,400,2500,205,1,43500,1600
Dan ,Central,1,1166,24343.83,190,500,2800,187,1,43800,700
Dan ,Central,65,3245,23831.78000001,127,385,3970,274,1,44820,616
Dan ,Central,63,3248,19358.94,135,333,1623,169,1,33494,666
Dan ,Central,127,3253,6460.768,62,384,545,324,1,12327,69
Dan ,Central,82,3253,26199.23000001,138,352,1386,197,1,43742,627
Dan ,Central,65,3280,21951.91000001,225,317,2706,167,1,39414,711
Dan ,Central,82,3280,24891.26,142,388,1441,195,1,41964,578
Dan ,Central,127,3284,12642.75,354,1160,4842,62,1,30692,1564
Dan ,Central,82,3372,29688.73000001,142,407,1596,265,1,49666.00000001,699
Dan ,Central,127,3386,24726.25,198,712,2555,283,1,44534,871
Dan ,Central,63,3386,27243.22,171,554,3760,368,1,50337,598
Dan ,Central,33,3388,20032.89,138,323,1287,219,1,34156,392
Dan ,Central,33,3388,20032.89,138,323,1287,219,1,34156,392
Dan ,Central,82,3401,24330.32,165,350,1518,242,1,41221.00000001,526
Dan ,Central,127,3413,23766.93000001,331,363,946,211,1,39865.00000001,36
Dan ,Central,63,3414,22703.16000001,333,356,1469,215,1,38741.00000001,567
Dan ,Central,65,3438,26583.92,203,349,2907,188,1,47154.00000001,516
Dan ,Central,33,3439,19575.19000001,164,254,1008,127,1,32689.00000001,411
Dan ,Central,82,3439,20776.91,152,565,5136,206,1,42694,574
Dan ,Central,127,3439,21855.46000001,184,1093,2318,243,1,40852,735
Dan ,Central,63,3439,25611.13,122,358,2080,188,1,44146.00000001,509
Dan ,Central,82,3496,26712.96,162,346,811,243,1,43591,583
Dan ,Central,63,3497,25023.56000001,168,345,1193,238,1,41679,555
Dan ,Central,127,3497,25415.07000001,172,374,1612,240,1,43090,589
Dan ,Central,65,3497,25424.83,136,406,3172,272,1,45959,582
Dan ,Central,33,3500,17611.8,115,238,940,159,1,29614,220
Dan ,Central,127,3524,25008.99,173,573,2436,255,1,44388,763
Dan ,Central,82,3524,25536.63000001,165,376,1544,236,1,43132,618
Dan ,Central,33,3531,10502.07,62,162,760,97,1,18021,193
Dan ,Central,65,3553,18822.19,142,354,4944,177,1,38679,586
Dan ,Central,63,3553,20040.08,139,430,2591,207,1,36691,512
Dan ,Central,127,3553,23788.66,68,427,1803,180,1,40692,910
Dan ,Central,82,3553,25790.98000001,149,346,1411,229,1,43179,621
Dan ,Central,127,3580,22773.02,197,532,4085,260,1,43841.00000001,657
Dan ,Central,63,3580,27193.9,167,407,1877,260,1,46421.00000001,578
Dan ,Central,65,3580,28376.51000001,164,399,3502,286,1,51100,603
Dan ,Central,82,3581,26524.38,161,355,1530,240,1,44573.00000001,614
Dan ,Central,33,3583,10535.96,61,163,1255,99,1,18980,157
Dan ,Central,127,3604,23601.48000001,223,517,3221,322,1,43640,630
Dan ,Central,63,3604,26551.85,169,446,2940,375,1,47564,520
Dan ,Central,65,3604,26745.58,167,387,3637,363,1,48908,527
Dan ,Central,127,3605,26189.16000001,154,348,1273,296,1,43645.00000001,579
Dan ,Central,65,3635,26114.84,167,384,3178,391,1,47115,555
Dan ,Central,33,3636,11288.07,380,951,634,44,1,20313,1883
Dan ,Central,82,3645,23034.4,194,364,2766,339,1,41549.00000001,563
Dan ,Central,127,3645,23107.93,194,472,3472,313,1,43190,586
Dan ,Central,63,3645,26993.89,166,415,2216,98,1,46634.00000001,537
Dan ,Central,82,3667,24867.45000001,175,311,2234,317,1,43236,577
Dan ,Central,127,3668,22965.91000001,176,379,2811,331,1,41521.00000001,594
Dan ,Central,65,3668,26282.58,163,163,3766,394,1,47791.00000001,524
Dan ,Central,33,3670,9391.013,77,165,715,101,1,16241,208
