Field ,Identification number,Days,Na,K,Mg,Ca,Sr,Ba,Cl,SO4
Valdemar,1,0,10293.02,1033,261,1735,95,1,20500,323
Valdemar,22,10,9172.198,1080,287,8200,81,5,30400,224
Valdemar,22,10,11823.53,403,278,5922,92,1,29836,206
Valdemar,22,13,7038.984,487,299,7713,135,5,25870,108
Valdemar,22,13,7445.67300001,448,292,7512,128,13,26091,99
Valdemar,22,27,8451.304,460,335,9761,136,2,31659,239
Valdemar,22,224,10023.84,154,101,819,67,29,17410,22
Valdemar,2,224,10535.1,384,121,425,63,6,17695,102
Valdemar,1,875,12468.84,203,100,369,78,35,20281,238
Valdemar,1,961,10177.63,232,112,344,73,29,16904,36
Valdemar,22,967,10061.71,133,230,4008,24,9,23386,78
Valdemar,1,1235,10238.85,162,95,258,65,41,16754,7
Valdemar,22,1265,9755.471,129,95,256,59,41,15968,9
Valdemar,11,1266,10434.71,191,96,314,61,23,17153,33
Valdemar,22,1508,9590.08100001,111,93,420,65,70,16000,10
Valdemar,1,1508,10203.78,156,92,326,78,67,16833,3
Valdemar,22,2319,9511.251,85,81,368,63,49,15718,6
Valdemar,1,2319,9733.40200001,125,73,242,66,49,15854,5
Valdemar,1,2663,9564.271,116,71,232,64,53,15555,14
Valdemar,22,3558,9539.896,63,70,321,58,48,15623,5
Valdemar,1,3558,9796.18500001,108,70,247,55,42,15886,55
Valdemar,13,3558,10505.64,191,101,391,59,5,17384,58
Valdemar,19,3570,9082.83699999999,89,107,276,59,51,14972,5
Valdemar,14,3570,9336.181,140,97,731,62,44,16178,14
Valdemar,13,4252,10973.91,163,99,441,78,10,18196,39
Valdemar,19,4372,9055.95199999999,69,89,261,40,63,14821,9
Valdemar,12,4372,9319.15699999999,77,86,294,47,74,15300,3
Valdemar,1,4372,10467.35,102,71,236,52,66,16938,17
Valdemar,14,4376,10092.86,59,86,630,56,68,17071,11
Valdemar,10,4611,10346.02,676,951,966,18,1,19795,1748
Valdemar,10,4611,11009.88,428,1112,476,7,1,19980,2029
Valdemar,10,4611,11069.08,380,1162,443,6,1,20082,2073
Valdemar,10,4611,11410.86,1068,1063,1016,18,4,22052,1966
Valdemar,12,4612,9590.48900001,95,108,247,74,71,15724,20
Valdemar,10,4612,10803.58,636,928,796,26,1,20200,1617
Valdemar,10,4713,10471.13000001,365,158,466,365,5,17981,133
Valdemar,1,4959,7548.831,199,127,616,79,8,13310,71
Valdemar,19,4959,8036.33900001,86,120,347,65,53,13514,18
Valdemar,13,4959,9074.98799999999,146,108,479,74,9,15332,49
Valdemar,1,4959,9511.92900001,116,100,326,76,56,15730,23
Valdemar,18,5014,12180.27,429,163,806,137,16,21134,107
Valdemar,17,5306,15733.05,281,691,1048,109,1,27617.00000001,1197
Valdemar,21,5333,13251.08,334,734,552,23,1,22913.00000001,1331
Valdemar,1,5604,9969.941,126,70,219,62,37,16130,47
Valdemar,1,5604,10025.43,128,66,185,70,51,16163,42
Valdemar,1,5605,10059.95,128,70,216,64,50,16276,44
Valdemar,14,5606,9279.432,86,81,452,64,60,15469,70
Valdemar,14,5607,9385.315,86,81,375,63,58,15512,46
Valdemar,14,5607,9387.80300001,85,81,366,63,56,15495,50
Valdemar,1,5607,9542.94700001,87,82,351,65,58,15719,45
Valdemar,19,5609,8777.13999999999,98,89,251,51,49,14367,55
Valdemar,19,5609,8904.95400001,99,88,190,52,46,14455,53
Valdemar,19,5610,8838.34399999999,98,86,195,48,44,14333,76
Valdemar,19,5610,8862.686,98,88,181,50,43,14369,54
Valdemar,19,5610,8889.13999999999,98,87,184,50,44,14412,55
Valdemar,13,5613,10089.26,127,79,380,65,14,16614,51
Valdemar,13,5613,10237.16,120,79,380,71,13,16841,50
Valdemar,13,5614,10187.51,128,79,379,69,14,16771,47
Valdemar,19,5615,8695.688,109,126,421,53,42,14651,65
Valdemar,19,5615,8722.484,113,128,396,52,39,14653,68
Valdemar,19,5615,8846.67599999999,111,124,282,51,30,14632,57
Valdemar,19,5616,8762.94199999999,108,113,279,52,40,14473,51
Valdemar,14,5632,9370.485,87,83,398,61,60,15536,46
Valdemar,20,6408,13413.84,553,332,936,81,1,23779,164
Valdemar,20,6408,13976.76,476,246,926,92,1,24314,169
Valdemar,20,6408,14469.72,559,263,1006,95,1,25339,176
Valdemar,20,6536,14126.7,280,181,813,111,1,24076,56
Valdemar,20,6536,14716.7,285,179,824,114,1,25008,55
Valdemar,20,6541,12916.92,337,534,773,58,1,22290,1257
Valdemar,20,6542,12894.96,305,505,2537,90,1,25733.00000001,660
Valdemar,20,6542,13838.6,318,487,3156,121,1,28400,484
Valdemar,21,6616,12137.09000001,102,115,537,109,33,20194,33
Valdemar,16,6761,12521.54,106,102,523,97,23,20703,47
Valdemar,15,6784,13021.33000001,162,144,481,124,48,21613,41
Valdemar,18,6785,12705.4,120,146,559,136,49,21248,32
Valdemar,19,6799,8979.087,79,87,269,39,27,14707,2
Valdemar,9,6799,9378.262,123,80,416,51,17,15575,44
Valdemar,12,6799,9543.855,95,80,245,44,34,15538,2
Valdemar,3,6799,9610.438,183,77,299,38,15,15759,46
Valdemar,3,6799,9813.878,193,85,290,35,1,16069,60
Valdemar,1,6799,9896.763,101,61,228,44,31,16001,2
Valdemar,4,6799,10090.09000001,66,66,462,55,38,16709,2
Valdemar,8,6799,10120.85,112,77,401,45,19,16672,44
Valdemar,1,7063,10483.76,103,68,222,57,45,16915,29
