Field,Type,Na,K,Mg,Ca,Sr,Ba,Cl,SO4
Halfdan,Mean,15931,154,210,891,91,12,27003,42
Halfdan,P10,20089,246,304,1354,133,18,33397,77
Halfdan,Mix1,15228,371,987,881,56,8,26191,1720
Seawater,Mean,10994,379,1241,480,5,1,20049,2352
Seawater,P10,11987,455,1442,565,5.1,1.1,21387,2816
Dan,Mean,26648,210,408,2611,328,1,47023,560
Dan,P10,29973,280,553,4219,424,1.1,52279,672
Dan,Mix3,19181,385,1086,2027,173,1,33744,1958
Valdemar,Mean,10211,122,100,371,65,45,16881,36
Valdemar,P10,12430,186,139,586,102,71,20684,80
Valdemar,Mix4,12164,347,921,573,44,29,21106,1722
Kraka,Mean,41546,210,514,2671,363,1,70493,482
Kraka,P10,43970,246,597,3460,437,1.3,74467,562
Kraka,Mix5,24780,371,1104,1723,178,1,42619,1914
Seawater2,Schovsbo,10780,400,1280,410,20,0,19350,2710
