         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	        temp	si_anhydrite	   si_gypsum	
           1	      i_soln	           1	         -99	         -99	         -99	           7	           4	      25.000	   -999.9990	   -999.9990	
           1	       react	           1	         -99	           0	           1	     7.06605	     10.7446	      25.000	     -0.3045	      0.0000	
           1	       react	           1	         -99	           0	           2	      7.0524	     10.6757	      26.000	     -0.2935	      0.0000	
           1	       react	           1	         -99	           0	           3	     7.03885	     10.6068	      27.000	     -0.2825	      0.0000	
           1	       react	           1	         -99	           0	           4	      7.0254	     10.5389	      28.000	     -0.2716	      0.0000	
           1	       react	           1	         -99	           0	           5	     7.01206	      10.472	      29.000	     -0.2608	      0.0000	
           1	       react	           1	         -99	           0	           6	     6.99884	     10.4042	      30.000	     -0.2500	      0.0000	
           1	       react	           1	         -99	           0	           7	     6.98574	     10.3381	      31.000	     -0.2392	      0.0000	
           1	       react	           1	         -99	           0	           8	     6.97276	     10.2711	      32.000	     -0.2285	      0.0000	
           1	       react	           1	         -99	           0	           9	     6.95991	     10.2057	      33.000	     -0.2179	      0.0000	
           1	       react	           1	         -99	           0	          10	     6.94718	     10.1398	      34.000	     -0.2073	      0.0000	
           1	       react	           1	         -99	           0	          11	     6.93459	     10.0744	      35.000	     -0.1967	      0.0000	
           1	       react	           1	         -99	           0	          12	     6.92213	     10.0096	      36.000	     -0.1862	      0.0000	
           1	       react	           1	         -99	           0	          13	     6.90981	    -1.77748	      37.000	     -0.1757	      0.0000	
           1	       react	           1	         -99	           0	          14	     6.89762	     9.88087	      38.000	     -0.1653	      0.0000	
           1	       react	           1	         -99	           0	          15	     6.88557	      9.8475	      39.000	     -0.1549	      0.0000	
           1	       react	           1	         -99	           0	          16	     6.87366	     9.75454	      40.000	     -0.1445	      0.0000	
           1	       react	           1	         -99	           0	          17	     6.86189	      9.6907	      41.000	     -0.1342	      0.0000	
           1	       react	           1	         -99	           0	          18	     6.85026	     9.62849	      42.000	     -0.1239	      0.0000	
           1	       react	           1	         -99	           0	          19	     6.83878	     9.56563	      43.000	     -0.1137	      0.0000	
           1	       react	           1	         -99	           0	          20	     6.82743	     9.50339	      44.000	     -0.1035	      0.0000	
           1	       react	           1	         -99	           0	          21	     6.81623	     9.44246	      45.000	     -0.0934	      0.0000	
           1	       react	           1	         -99	           0	          22	     6.80517	     9.38059	      46.000	     -0.0833	      0.0000	
           1	       react	           1	         -99	           0	          23	     6.79425	     9.31892	      47.000	     -0.0732	      0.0000	
           1	       react	           1	         -99	           0	          24	     6.78347	     9.28758	      48.000	     -0.0632	      0.0000	
           1	       react	           1	         -99	           0	          25	     6.77284	     9.19657	      49.000	     -0.0532	      0.0000	
           1	       react	           1	         -99	           0	          26	     6.76235	    -1.65497	      50.000	     -0.0432	      0.0000	
           1	       react	           1	         -99	           0	          27	       6.752	     9.07753	      51.000	     -0.0333	      0.0000	
           1	       react	           1	         -99	           0	          28	      6.7418	     9.04685	      52.000	     -0.0234	      0.0000	
           1	       react	           1	         -99	           0	          29	     6.73173	     8.91536	      53.000	     -0.0136	      0.0000	
           1	       react	           1	         -99	           0	          30	     6.72181	    -1.62167	      54.000	     -0.0038	      0.0000	
           1	       react	           1	         -99	           0	          31	     6.71125	     8.83248	      55.000	      0.0000	     -0.0060	
           1	       react	           1	         -99	           0	          32	     6.70039	      8.7747	      56.000	      0.0000	     -0.0157	
           1	       react	           1	         -99	           0	          33	     6.68965	     8.71845	      57.000	      0.0000	     -0.0254	
           1	       react	           1	         -99	           0	          34	     6.67903	     8.66099	      58.000	      0.0000	     -0.0350	
           1	       react	           1	         -99	           0	          35	     6.66853	     8.60479	      59.000	      0.0000	     -0.0446	
           1	       react	           1	         -99	           0	          36	     6.65815	     8.54826	      60.000	      0.0000	     -0.0542	
           1	       react	           1	         -99	           0	          37	     6.64789	      8.4935	      61.000	      0.0000	     -0.0638	
           1	       react	           1	         -99	           0	          38	     6.63774	     8.43683	      62.000	      0.0000	     -0.0733	
           1	       react	           1	         -99	           0	          39	     6.62771	     8.38286	      63.000	      0.0000	     -0.0828	
           1	       react	           1	         -99	           0	          40	      6.6178	     8.32762	      64.000	      0.0000	     -0.0922	
           1	       react	           1	         -99	           0	          41	       6.608	     8.27289	      65.000	      0.0000	     -0.1016	
           1	       react	           1	         -99	           0	          42	     6.59833	     8.21823	      66.000	      0.0000	     -0.1110	
           1	       react	           1	         -99	           0	          43	     6.58876	     8.16425	      67.000	      0.0000	     -0.1204	
           1	       react	           1	         -99	           0	          44	     6.57931	     8.10992	      68.000	      0.0000	     -0.1297	
           1	       react	           1	         -99	           0	          45	     6.56998	     8.05651	      69.000	      0.0000	     -0.1390	
           1	       react	           1	         -99	           0	          46	     6.56075	     8.00299	      70.000	      0.0000	     -0.1483	
           1	       react	           1	         -99	           0	          47	     6.55165	     7.94963	      71.000	      0.0000	     -0.1575	
           1	       react	           1	         -99	           0	          48	     6.54265	     7.92563	      72.000	      0.0000	     -0.1667	
           1	       react	           1	         -99	           0	          49	     6.53376	     7.87284	      73.000	      0.0000	     -0.1758	
           1	       react	           1	         -99	           0	          50	     6.52499	     7.79021	      74.000	      0.0000	     -0.1850	
           1	       react	           1	         -99	           0	          51	     6.51633	     7.73768	      75.000	      0.0000	     -0.1941	
